,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb
Temp,0.999999,0.124742,0.106671,0.002195,0.099691,0.002195,0.002195,0.002195
SpCond,0.124742,0.999999,0.999998,0.002195,0.002195,0.227977,0.002195,0.002195
Sal,0.106671,0.999998,0.999999,0.002195,0.002195,0.230079,0.002195,0.002195
DO_pct,0.002195,0.002195,0.002195,0.999999,0.888125,0.002195,0.393939,0.002195
DO_mgl,0.099691,0.002195,0.002195,0.888125,0.999999,0.002195,0.411718,0.002195
Depth,0.002195,0.227977,0.230079,0.002195,0.002195,0.999999,0.002195,0.002195
pH,0.002195,0.002195,0.002195,0.393939,0.411718,0.002195,0.999999,0.002195
Turb,0.002195,0.002195,0.002195,0.002195,0.002195,0.002195,0.002195,0.999999
