,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb
Temp,0.999999,0.010666,0.010666,0.678929,0.577939,0.010666,0.548242,0.010666
SpCond,0.010666,0.999999,0.999990,0.010666,0.010666,0.010666,0.010666,0.010666
Sal,0.010666,0.999990,0.999999,0.010666,0.010666,0.010666,0.010666,0.010666
DO_pct,0.678929,0.010666,0.010666,0.999999,0.999936,0.212522,0.748757,0.010666
DO_mgl,0.577939,0.010666,0.010666,0.999936,0.999999,0.217317,0.723523,0.010666
Depth,0.010666,0.010666,0.010666,0.212522,0.217317,0.999999,0.010666,0.010666
pH,0.548242,0.010666,0.010666,0.748757,0.723523,0.010666,0.999999,0.010666
Turb,0.010666,0.010666,0.010666,0.010666,0.010666,0.010666,0.010666,0.999999
